Account Type,Fund,Department,Business Unit,Account Classification,Account Code And Description,2019 Adopted Budget,2020 Adopted Budget,2021 Projected Budget,Fund Number,Department Number,Business Unit Number
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Salary and Benefits,61710 IMRF,"11,615","15,340","15,969.31",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Salary and Benefits,61725 SOCIAL SECURITY,"11,634","10,966","11,412.08",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Salary and Benefits,61730 MEDICARE,"2,721","2,565","2,668.98",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62185 CONSULTING SERVICES,"10,000","10,000","10,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62210 PRINTING,180,180,180,100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62275 POSTAGE CHARGEBACKS,400,400,400,100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62280 OVERNIGHT MAIL CHARGES,200,200,200,100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62295 TRAINING & TRAVEL,"1,500","1,600","1,600",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62315 POSTAGE,100,100,100,100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62360 MEMBERSHIP DUES,"1,000","1,000","1,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62659 ECONOMIC DEVELOPMENT PARTNERSHIP CONTRIBUTIONS,"147,000","147,000","147,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62663 WORKFORCE DEVELOPMENT,"100,000","100,000","100,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,62664 ENTREPRENEURSHIP SUPPORT,"50,000","50,000","50,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Services and Supplies,65095 OFFICE SUPPLIES,500,500,500,100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Capital Outlay,65522 BUSINESS DISTRICT IMPROVEMENTS,"150,000","150,000","150,000",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Insurance and Other Chargebacks,66130  TRANSFER TO INSURANCE,"18,495","18,495","18,495",100,21,5300
Expenses,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"17,368",0,0,100,21,5300
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61010 REGULAR PAY,"571,321","403,049","422,489.05",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61415 TERMINATION PAYOUTS,"283,250","694,014","700,629",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61420 ANNUAL SICK LEAVE PAYOUT,"195,700","203,137","207,707",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61425 ANNUAL HOLIDAY PAYOUT,"210,120","218,105","223,012",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61441 POLICE EDUCATION INCENTIVES,"232,400","288,000","288,000",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61510 HEALTH INSURANCE,"57,664","48,983","48,981.26",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61615 LIFE INSURANCE,693,485,493.32,100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61635 UNIFORM ALLOWANCE,"2,000",0,0,100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61710 IMRF,"4,933","6,896","7,041",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61725 SOCIAL SECURITY,"12,870","13,132","13,234.54",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Salary and Benefits,61730 MEDICARE,"8,535","5,984","6,126.09",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62210 PRINTING,"3,000","3,000","3,000",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62270 MEDICAL/HOSPITAL SERVICES,"1,000","1,000","1,000",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62360 MEMBERSHIP DUES,"116,388","116,388","116,388",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62375 RENTALS,"33,430","17,910","17,910",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62380 COPY MACHINE CHARGES,"8,954","8,954","8,954",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,62509  SERVICE AGREEMENTS/ CONTRACTS,"346,072","346,072","346,072",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,"65010 BOOKS, PUBLICATIONS, MAPS",520,520,520,100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Services and Supplies,65125 OTHER COMMODITIES,"20,400","20,400","20,400",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Insurance and Other Chargebacks,62675 INTERDEPT TRANSFER PENSIONS,"10,462,704","11,225,650","11,786,933",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Contingencies,68205 CONTINGENCIES,"2,500","2,500","2,500",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Miscellaneous,62490 OTHER PROGRAM COSTS,"15,000","15,000","15,000",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"12,715","12,715","12,715",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"4,221","4,221","4,221",100,22,2205
Expenses,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"2,599",0,0,100,22,2205
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61010 REGULAR PAY,"8,610,487","9,426,613","9,786,304.58",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61070 JOB TRAINING AND INTERNSHIPS,"97,500",0,0,100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61110 OVERTIME PAY,"81,752","234,859","236,768",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61111 HIREBACK OT PAY,"413,054","728,750","738,397",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61112 SPECIAL DETAIL OT,"202,724","252,724","252,724",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61510 HEALTH INSURANCE,"1,366,297","1,335,415","1,361,741.97",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61615 LIFE INSURANCE,"11,777","12,275","12,749.36",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61635 UNIFORM ALLOWANCE,"93,000","90,000","90,000",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61725 SOCIAL SECURITY,"9,109","5,008","5,306.64",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Salary and Benefits,61730 MEDICARE,"135,133","137,992","143,206.04",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Services and Supplies,65015 CHEMICALS/ SALT,833,0,0,100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Services and Supplies,65020 CLOTHING,"33,000","33,000","33,000",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,"52,290","39,216","39,216",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Services and Supplies,65105 PHOTO/DRAFTING SUPPLIE,833,833,833,100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Services and Supplies,65125 OTHER COMMODITIES,"8,998","8,998","8,998",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Insurance and Other Chargebacks,66030 TRANSFER TO INSURANCE - RISK,"358,138","358,138","358,138",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Miscellaneous,65141 FITNESS INCENTIVE,0,"97,500","97,500",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"262,431","273,118","294,705",100,22,2210
Expenses,GENERAL FUND,POLICE,PATROL OPERATIONS,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"172,893","272,893","272,893",100,22,2210
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61010 REGULAR PAY,"1,745,805","1,794,531","1,838,456.11",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61110 OVERTIME PAY,"22,000","22,836","23,350",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61111 HIREBACK OT PAY,"5,000","5,190","5,307",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61112 SPECIAL DETAIL OT,"5,000","5,000","5,000",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61510 HEALTH INSURANCE,"271,864","272,180","280,870.56",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61615 LIFE INSURANCE,"2,144","2,214","2,267.34",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61635 UNIFORM ALLOWANCE,"17,000","15,000","15,000",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Salary and Benefits,61730 MEDICARE,"26,237","26,239","26,875.13",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Services and Supplies,62370 EXPENSE ALLOWANCE,"2,200","2,200","2,200",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Services and Supplies,62705 BANK SERVICE CHARGES,600,600,600,100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Services and Supplies,65020 CLOTHING,400,400,400,100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Services and Supplies,65105 PHOTO/DRAFTING SUPPLIE,"2,500","2,500","2,500",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"51,264","51,264","51,264",100,22,2215
Expenses,GENERAL FUND,POLICE,CRIMINAL INVESTIGATION,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"21,514","21,514","21,514",100,22,2215
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61010 REGULAR PAY,"887,292","719,281","802,621.98",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61110 OVERTIME PAY,"15,000","15,570","15,920",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61111 HIREBACK OT PAY,"15,700","16,297","16,663",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61112 SPECIAL DETAIL OT,"8,330","8,330","8,330",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61510 HEALTH INSURANCE,"179,015","144,662","163,709.49",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61615 LIFE INSURANCE,"1,056",923,940.8,100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61635 UNIFORM ALLOWANCE,"8,000","7,000","7,000",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Salary and Benefits,61730 MEDICARE,"13,668","10,532","11,739.52",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"15,466","15,466","15,466",100,22,2230
Expenses,GENERAL FUND,POLICE,JUVENILE BUREAU,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"17,194","17,194","17,194",100,22,2230
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Salary and Benefits,61010 REGULAR PAY,"291,535","407,194","416,697.79",100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Salary and Benefits,61510 HEALTH INSURANCE,"44,294","65,324","68,045.79",100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Salary and Benefits,61615 LIFE INSURANCE,384,528,537.6,100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Salary and Benefits,61635 UNIFORM ALLOWANCE,"3,000","4,000","4,000",100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Salary and Benefits,61730 MEDICARE,"4,384","5,963","6,100.12",100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"13,706","13,706","13,706",100,22,2235
Expenses,GENERAL FUND,POLICE,SCHOOL LIAISON,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"8,649","8,649","8,649",100,22,2235
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61010 REGULAR PAY,"433,729","352,343","360,258.3",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61510 HEALTH INSURANCE,"86,419","67,478","67,477.34",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61615 LIFE INSURANCE,365,251,258.12,100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61710 IMRF,"27,762","30,795","31,486.26",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61725 SOCIAL SECURITY,"27,628","21,846","22,336.01",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Salary and Benefits,61730 MEDICARE,"6,462","5,109","5,223.75",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Services and Supplies,62275 POSTAGE CHARGEBACKS,"6,000","6,000","6,000",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Services and Supplies,62335 DATA PROCESSING SERVICES,378,378,378,100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Services and Supplies,65105 PHOTO/DRAFTING SUPPLIE,"1,500","1,500","1,500",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"11,317","11,317","11,317",100,22,2240
Expenses,GENERAL FUND,POLICE,POLICE RECORDS,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"14,185",0,0,100,22,2240
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61010 REGULAR PAY,"1,102,255","1,159,974","1,200,053.51",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61110 OVERTIME PAY,"4,000","4,152","4,245",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61111 HIREBACK OT PAY,"12,000","12,456","12,736",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61510 HEALTH INSURANCE,"182,680","210,465","210,464.41",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61615 LIFE INSURANCE,"1,438","1,504","1,559.31",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61635 UNIFORM ALLOWANCE,"11,900","11,900","11,900",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61710 IMRF,"70,505","101,383","104,885",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61725 SOCIAL SECURITY,"70,902","72,657","75,141.12",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Salary and Benefits,61730 MEDICARE,"16,582","16,993","17,573.3",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Services and Supplies,64540 TELECOMMUNICATIONS - WIRELESS,"22,000","22,000","22,000",100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Services and Supplies,65020 CLOTHING,400,400,400,100,22,2245
Expenses,GENERAL FUND,POLICE,COMMUNICATIONS,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"33,672",0,0,100,22,2245
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61010 REGULAR PAY,"911,372","899,108","934,274.97",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61110 OVERTIME PAY,"2,200","2,284","2,335",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61111 HIREBACK OT PAY,"23,000","23,874","24,411",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61510 HEALTH INSURANCE,"159,909","164,160","164,159.58",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61615 LIFE INSURANCE,"1,201","1,050","1,093.74",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61635 UNIFORM ALLOWANCE,"10,200","6,800","6,800",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61710 IMRF,"58,070","78,582","81,655.76",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61725 SOCIAL SECURITY,"58,424","56,167","58,346.64",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Salary and Benefits,61730 MEDICARE,"13,664","13,136","13,645.59",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Services and Supplies,62425 ELEVATOR CONTRACT COSTS,"3,112","3,112","3,112",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Services and Supplies,65020 CLOTHING,"2,400","2,400","2,400",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Services and Supplies,65025 FOOD,"5,050","5,050","5,050",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Services and Supplies,65125 OTHER COMMODITIES,"3,000","3,000","3,000",100,22,2250
Expenses,GENERAL FUND,POLICE,SERVICE DESK,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"35,954",0,0,100,22,2250
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61010 REGULAR PAY,"379,413","407,846","429,596.97",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61510 HEALTH INSURANCE,"86,352","91,933","91,932.56",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61615 LIFE INSURANCE,453,547,573.72,100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61635 UNIFORM ALLOWANCE,"5,100","5,950","5,950",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61710 IMRF,"21,580","35,646","37,546.61",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61725 SOCIAL SECURITY,"24,468","25,656","27,003.9",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Salary and Benefits,61730 MEDICARE,"5,723","6,001","6,315.43",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Services and Supplies,64505 TELECOMMUNICATIONS,"50,000","50,000","50,000",100,22,2251
Expenses,GENERAL FUND,POLICE,311 CENTER,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"12,492",0,0,100,22,2251
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61010 REGULAR PAY,"315,491","312,049","324,849.19",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61510 HEALTH INSURANCE,"50,749","61,909","62,836.2",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61615 LIFE INSURANCE,370,345,359.88,100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61635 UNIFORM ALLOWANCE,"1,000","1,000","1,000",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61710 IMRF,"4,299","4,674","4,771.86",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61725 SOCIAL SECURITY,"4,279","3,316","3,385.11",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Salary and Benefits,61730 MEDICARE,"4,712","4,540","4,724.82",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"4,965","4,965","4,965",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"3,090","3,090","3,090",100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE-PROFESSIONAL STANDARDS,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"2,007",0,0,100,22,2255
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61010 REGULAR PAY,"345,699","351,132","359,885.44",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61110 OVERTIME PAY,"4,000","4,152","4,245",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61510 HEALTH INSURANCE,"43,180","42,560","42,559.62",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61615 LIFE INSURANCE,459,467,477.48,100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61710 IMRF,"12,631","17,530","17,967.5",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61725 SOCIAL SECURITY,"12,570","12,435","12,745.63",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Salary and Benefits,61730 MEDICARE,"5,147","5,092","5,218.28",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Services and Supplies,62295 TRAINING & TRAVEL,"121,496","161,594","161,594",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Services and Supplies,65015 CHEMICALS/ SALT,"35,000",0,0,100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Services and Supplies,65095 OFFICE SUPPLIES,"22,300","22,300","22,300",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Services and Supplies,65616 PUBLIC SAFETY EQUIPMENT/SUPPLIES,0,"35,833","35,833",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"1,474","1,474","1,474",100,22,2260
Expenses,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"4,974",0,0,100,22,2260
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61010 REGULAR PAY,"1,607,196","1,488,854","1,520,037.86",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61110 OVERTIME PAY,"12,500","12,975","13,267",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61111 HIREBACK OT PAY,"84,946","88,174","90,158",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61112 SPECIAL DETAIL OT,"12,000","12,000","12,000",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61510 HEALTH INSURANCE,"265,930","267,610","277,883.97",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61615 LIFE INSURANCE,"2,097","1,837","1,876.2",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61635 UNIFORM ALLOWANCE,"14,000","12,000","12,000",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Salary and Benefits,61730 MEDICARE,"24,130","21,763","22,214.54",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Services and Supplies,65123 NARCOTICS SEIZURE EXPENSE,0,"20,000","20,000",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"63,549","63,549","63,549",100,22,2265
Expenses,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"19,974","19,974","19,974",100,22,2265
Expenses,GENERAL FUND,POLICE,TRAFFIC BUREAU,Salary and Benefits,61010 REGULAR PAY,"697,187","724,006","738,253.58",100,22,2270
Expenses,GENERAL FUND,POLICE,TRAFFIC BUREAU,Salary and Benefits,61110 OVERTIME PAY,"8,500","8,826","9,022",100,22,2270
Expenses,GENERAL FUND,POLICE,TRAFFIC BUREAU,Salary and Benefits,61112 SPECIAL DETAIL OT,"2,800","2,800","2,800",100,22,2270
